type,name,full_name,isin,haircut,value
mf,KTKOVFDRD,KOTAK OVERNIGHT FUND - DIRECT PLAN - DAILY IDCW REINVESTMENT,INF174KA1BE2,10,90
mf,KTKOVFGRD,KOTAK OVERNIGHT FUND - DIRECT PLAN - GROWTH,INF174KA1BF9,10,90
mf,LDDRD,IIFL LIQUID FUND - DIRECT PLAN - IDCW REINVESTMENT - DAILY,INF579M01688,10,90
mf,LDG,IIFL LIQUID FUND - DIRECT PLAN - GROWTH,INF579M01621,10,90
mf,LFD1D,LIC MF LIQUID FUND-DIRECT - DIVIDEND PLAN-IDCW PAYOUT,INF767K01DL5,10,90
mf,LFD1R,LIC MF LIQUID FUND-DIRECT - DIVIDEND PLAN-IDCW REINVESTMENT,INF767K01DM3,10,90
mf,LFDG,BANK OF INDIA LIQUID FUNDDIRECT PLAN - GROWTH,INF761K01785,10,90
mf,LFDPD,LIC MF LIQUID FUND-DIVIDEND-IDCW PAYOUT,INF767K01IQ3,10,90
mf,LFDPR,LIC MF LIQUID FUND-DIVIDEND-IDCW REINVESTMENT,INF767K01IR1,10,90
mf,LFG1G,LIC MF LIQUID FUND-DIRECT - GROWTH PLAN-GROWTH,INF767K01DN1,10,90
mf,LFGDG,MOTILAL OSWAL LIQUID FUND DIRECT GROWTH,INF247L01734,10,90
mf,LFGPG,LIC MF LIQUID FUND-GROWTH-GROWTH,INF767K01IS9,10,90
mf,LFGPGR,MOTILAL OSWAL LIQUID FUND REGULAR GROWTH,INF247L01726,10,90
mf,LNT127,L&T MONEY MARKET FUND - MONTHLY IDCW PAYOUT,INF917K01BA3,10,90
mf,LNT127P,L&T MONEY MARKET FUND - MONTHLY IDCW PAYOUT,INF917K01BB1,10,90
mf,LNT128,L&T MONEY MARKET FUND - GROWTH,INF917K01BC9,10,90
mf,LNT128D,L&T MONEY MARKET FUND DIRECT PLAN - GROWTH,INF917K01FE6,10,90
mf,LNT153LD,L&T LIQUID FUND DIRECT PLAN - WEEKLY IDCW PAYOUT,INF917K01HE2,10,90
mf,LNT54LD,L&T LIQUID FUND DIRECT PLAN - DAILY IDCW REINVESTENT PLAN,INF917K01HG7,10,90
mf,LNTLCDD,L&T OVERNIGHT FUND - DAILY IDCW REINVESTENT,INF917K01EJ8,10,90
mf,LNTLCDG,L&T OVERNIGHT FUND DIRECT PLAN - GROWTH,INF917K01EN0,10,90
mf,LNTLCG,L&T OVERNIGHT FUND - GROWTH OPTION,INF917K01EI0,10,90
mf,LNTLCWD,L&T OVERNIGHT FUND - WEEKLY IDCW REINVESTENT,INF917K01EK6,10,90
mf,LQDDR,IDBI LIQUID FUND REGULAR PLAN - DAILY IDCW REINVESTMENT,INF397L01935,10,90
mf,LQG,IDBI LIQUID FUND REGULAR PLAN - GROWTH,INF397L01984,10,90
mf,LRG,IIFL LIQUID FUND REGULAR PLAN - GROWTH,INF579M01506,10,90
mf,MGFD040A,SBI MAGNUM GILT FUND DIRECT GROWTH,INF200K01SH3,10,90
mf,MG-LPR-G,SBI MAGNUM GILT FUND - LONG TERM - PF - REGULAR,INF200K01AK5,10,90
mf,MG-LR-DP,SBI MAGNUM GILT FUND REGULAR IDCW PAYOUT,INF200K01990,10,90
mf,MG-LR-DR,SBI MAGNUM GILT FUND REGULAR IDCW REINVESTMENT,INF200K01AA6,10,90
mf,MG-LR-G,SBI MAGNUM GILT FUND REGULAR GROWTH,INF200K01982,10,90
mf,MG-S-DP,SBI MAGNUM CONSTANT MATURITY FUND REGULAR IDCW PAYOUT,INF200K01AO7,10,90
mf,MG-S-DR,SBI MAGNUM CONSTANT MATURITY FUND REGULAR IDCW REINVESTMENT,INF200K01AP4,10,90
mf,MG-S-G,SBI MAGNUM CONSTANT MATURITY FUND REGULAR GROWTH,INF200K01AN9,10,90
mf,MIF-FS-DP,SBI SAVINGS FUND - REGULAR PLAN - IDCW PAYOUT,INF200K01644,10,90
